#    L    TT             EE             TE             PP             TP          
   179   0.522082E+04   0.824646E+00  -0.366438E+02   0.295186E+07   0.292223E+04
   180   0.524420E+04   0.813697E+00  -0.359050E+02   0.293641E+07   0.289853E+04
   181   0.526711E+04   0.802896E+00  -0.351388E+02   0.292109E+07   0.287508E+04
   182   0.528955E+04   0.792274E+00  -0.343454E+02   0.290589E+07   0.285188E+04
   183   0.531153E+04   0.781852E+00  -0.335249E+02   0.289082E+07   0.282893E+04
   184   0.533302E+04   0.771667E+00  -0.326776E+02   0.287587E+07   0.280622E+04
   185   0.535403E+04   0.761757E+00  -0.318034E+02   0.286104E+07   0.278374E+04
   186   0.537453E+04   0.752143E+00  -0.309026E+02   0.284633E+07   0.276148E+04
   187   0.539454E+04   0.742857E+00  -0.299754E+02   0.283174E+07   0.273945E+04
   188   0.541404E+04   0.733939E+00  -0.290220E+02   0.281726E+07   0.271763E+04
   189   0.543302E+04   0.725419E+00  -0.280426E+02   0.280291E+07   0.269602E+04
   190   0.545148E+04   0.717333E+00  -0.270375E+02   0.278867E+07   0.267462E+04
   191   0.546941E+04   0.709711E+00  -0.260070E+02   0.277454E+07   0.265341E+04
   192   0.548680E+04   0.702589E+00  -0.249511E+02   0.276052E+07   0.263240E+04
   193   0.550364E+04   0.696001E+00  -0.238702E+02   0.274662E+07   0.261157E+04
   194   0.551994E+04   0.689981E+00  -0.227648E+02   0.273283E+07   0.259093E+04
   195   0.553568E+04   0.684566E+00  -0.216349E+02   0.271914E+07   0.257046E+04
   196   0.555086E+04   0.679791E+00  -0.204812E+02   0.270557E+07   0.255016E+04
   197   0.556550E+04   0.675694E+00  -0.193038E+02   0.269210E+07   0.253003E+04
   198   0.557957E+04   0.672310E+00  -0.181032E+02   0.267873E+07   0.251005E+04
   199   0.559307E+04   0.669675E+00  -0.168796E+02   0.266547E+07   0.249023E+04
   200   0.560600E+04   0.667825E+00  -0.156337E+02   0.265231E+07   0.247055E+04
   201   0.561836E+04   0.666796E+00  -0.143655E+02   0.263926E+07   0.245101E+04
   202   0.563014E+04   0.666626E+00  -0.130757E+02   0.262631E+07   0.243162E+04
   203   0.564131E+04   0.667352E+00  -0.117646E+02   0.261345E+07   0.241236E+04
   204   0.565188E+04   0.669008E+00  -0.104326E+02   0.260070E+07   0.239325E+04
   205   0.566182E+04   0.671634E+00  -0.908023E+01   0.258804E+07   0.237427E+04
   206   0.567114E+04   0.675264E+00  -0.770779E+01   0.257548E+07   0.235543E+04
   207   0.567982E+04   0.679936E+00  -0.631569E+01   0.256302E+07   0.233672E+04
   208   0.568786E+04   0.685687E+00  -0.490453E+01   0.255066E+07   0.231815E+04
   209   0.569528E+04   0.692552E+00  -0.347485E+01   0.253839E+07   0.229971E+04
   210   0.570208E+04   0.700569E+00  -0.202719E+01   0.252621E+07   0.228141E+04
   211   0.570825E+04   0.709776E+00  -0.562119E+00   0.251413E+07   0.226324E+04
   212   0.571382E+04   0.720207E+00   0.919814E+00   0.250214E+07   0.224520E+04
   213   0.571878E+04   0.731900E+00   0.241805E+01   0.249024E+07   0.222729E+04
   214   0.572314E+04   0.744893E+00   0.393204E+01   0.247844E+07   0.220952E+04
   215   0.572690E+04   0.759214E+00   0.546119E+01   0.246672E+07   0.219187E+04
   216   0.573004E+04   0.774909E+00   0.700491E+01   0.245509E+07   0.217435E+04
   217   0.573257E+04   0.792009E+00   0.856259E+01   0.244356E+07   0.215696E+04
   218   0.573449E+04   0.810542E+00   0.101337E+02   0.243211E+07   0.213970E+04
   219   0.573578E+04   0.830554E+00   0.117176E+02   0.242075E+07   0.212256E+04
   220   0.573644E+04   0.852073E+00   0.133137E+02   0.240947E+07   0.210555E+04
   221   0.573648E+04   0.875130E+00   0.149213E+02   0.239828E+07   0.208866E+04
   222   0.573589E+04   0.899769E+00   0.165400E+02   0.238718E+07   0.207189E+04
   223   0.573466E+04   0.926013E+00   0.181690E+02   0.237615E+07   0.205525E+04
   224   0.573281E+04   0.953899E+00   0.198076E+02   0.236522E+07   0.203873E+04
   225   0.573033E+04   0.983448E+00   0.214552E+02   0.235436E+07   0.202233E+04
   226   0.572723E+04   0.101471E+01   0.231111E+02   0.234359E+07   0.200605E+04
   227   0.572350E+04   0.104770E+01   0.247747E+02   0.233289E+07   0.198989E+04
   228   0.571915E+04   0.108246E+01   0.264452E+02   0.232228E+07   0.197385E+04
   229   0.571419E+04   0.111901E+01   0.281221E+02   0.231174E+07   0.195793E+04
   230   0.570860E+04   0.115739E+01   0.298046E+02   0.230129E+07   0.194212E+04
   231   0.570239E+04   0.119762E+01   0.314920E+02   0.229091E+07   0.192643E+04
   232   0.569558E+04   0.123972E+01   0.331836E+02   0.228060E+07   0.191086E+04
   233   0.568815E+04   0.128373E+01   0.348787E+02   0.227038E+07   0.189539E+04
   234   0.568010E+04   0.132968E+01   0.365765E+02   0.226022E+07   0.188005E+04
   235   0.567145E+04   0.137758E+01   0.382765E+02   0.225015E+07   0.186481E+04
   236   0.566219E+04   0.142747E+01   0.399779E+02   0.224014E+07   0.184969E+04
   237   0.565233E+04   0.147937E+01   0.416798E+02   0.223021E+07   0.183468E+04
   238   0.564187E+04   0.153329E+01   0.433816E+02   0.222035E+07   0.181978E+04
   239   0.563082E+04   0.158925E+01   0.450826E+02   0.221056E+07   0.180498E+04
   240   0.561917E+04   0.164729E+01   0.467819E+02   0.220084E+07   0.179030E+04
   241   0.560692E+04   0.170743E+01   0.484790E+02   0.219119E+07   0.177572E+04
   242   0.559410E+04   0.176968E+01   0.501729E+02   0.218161E+07   0.176125E+04
   243   0.558070E+04   0.183406E+01   0.518630E+02   0.217209E+07   0.174689E+04
   244   0.556672E+04   0.190058E+01   0.535486E+02   0.216265E+07   0.173263E+04
   245   0.555217E+04   0.196928E+01   0.552289E+02   0.215327E+07   0.171848E+04
   246   0.553706E+04   0.204014E+01   0.569033E+02   0.214395E+07   0.170443E+04
   247   0.552139E+04   0.211320E+01   0.585710E+02   0.213470E+07   0.169048E+04
   248   0.550518E+04   0.218848E+01   0.602312E+02   0.212551E+07   0.167663E+04
   249   0.548842E+04   0.226597E+01   0.618833E+02   0.211638E+07   0.166289E+04
   250   0.547112E+04   0.234570E+01   0.635265E+02   0.210732E+07   0.164924E+04
   251   0.545327E+04   0.242766E+01   0.651599E+02   0.209832E+07   0.163570E+04
   252   0.543490E+04   0.251187E+01   0.667828E+02   0.208938E+07   0.162225E+04
   253   0.541598E+04   0.259834E+01   0.683944E+02   0.208050E+07   0.160890E+04
   254   0.539655E+04   0.268706E+01   0.699938E+02   0.207167E+07   0.159565E+04
   255   0.537658E+04   0.277805E+01   0.715804E+02   0.206291E+07   0.158249E+04
   256   0.535608E+04   0.287131E+01   0.731533E+02   0.205421E+07   0.156943E+04
   257   0.533508E+04   0.296684E+01   0.747120E+02   0.204556E+07   0.155646E+04
   258   0.531358E+04   0.306463E+01   0.762554E+02   0.203698E+07   0.154359E+04
   259   0.529158E+04   0.316471E+01   0.777839E+02   0.202845E+07   0.153081E+04
   260   0.526912E+04   0.326706E+01   0.792953E+02   0.201997E+07   0.151812E+04
   261   0.524619E+04   0.337169E+01   0.807904E+02   0.201156E+07   0.150553E+04
   262   0.522281E+04   0.347858E+01   0.822677E+02   0.200320E+07   0.149302E+04
   263   0.519899E+04   0.358775E+01   0.837271E+02   0.199489E+07   0.148060E+04
   264   0.517474E+04   0.369918E+01   0.851672E+02   0.198664E+07   0.146828E+04
   265   0.515006E+04   0.381287E+01   0.865888E+02   0.197845E+07   0.145604E+04
