#    L    TT             EE             BB             TE             PP             TP             EP          
   568   0.249907E+04   0.111388E+02   0.000000E+00   0.201230E+02   0.159655E-07   0.381708E-05  -0.253118E-06
   569   0.249253E+04   0.113546E+02   0.000000E+00   0.209544E+02   0.159237E-07   0.385109E-05  -0.268002E-06
   570   0.248583E+04   0.115746E+02   0.000000E+00   0.217604E+02   0.158821E-07   0.388578E-05  -0.282834E-06
   571   0.247897E+04   0.117989E+02   0.000000E+00   0.225404E+02   0.158406E-07   0.392117E-05  -0.297611E-06
   572   0.247197E+04   0.120273E+02   0.000000E+00   0.232941E+02   0.157993E-07   0.395723E-05  -0.312330E-06
   573   0.246481E+04   0.122597E+02   0.000000E+00   0.240209E+02   0.157582E-07   0.399395E-05  -0.326991E-06
   574   0.245751E+04   0.124961E+02   0.000000E+00   0.247205E+02   0.157172E-07   0.403133E-05  -0.341589E-06
   575   0.245008E+04   0.127365E+02   0.000000E+00   0.253926E+02   0.156764E-07   0.406935E-05  -0.356124E-06
   576   0.244251E+04   0.129806E+02   0.000000E+00   0.260366E+02   0.156357E-07   0.410800E-05  -0.370593E-06
   577   0.243482E+04   0.132285E+02   0.000000E+00   0.266522E+02   0.155952E-07   0.414728E-05  -0.384994E-06
   578   0.242701E+04   0.134800E+02   0.000000E+00   0.272389E+02   0.155549E-07   0.418717E-05  -0.399324E-06
   579   0.241907E+04   0.137352E+02   0.000000E+00   0.277965E+02   0.155147E-07   0.422766E-05  -0.413582E-06
   580   0.241103E+04   0.139938E+02   0.000000E+00   0.283245E+02   0.154747E-07   0.426874E-05  -0.427765E-06
   581   0.240288E+04   0.142558E+02   0.000000E+00   0.288224E+02   0.154349E-07   0.431041E-05  -0.441871E-06
   582   0.239462E+04   0.145211E+02   0.000000E+00   0.292901E+02   0.153952E-07   0.435264E-05  -0.455898E-06
   583   0.238627E+04   0.147895E+02   0.000000E+00   0.297270E+02   0.153557E-07   0.439543E-05  -0.469844E-06
   584   0.237782E+04   0.150612E+02   0.000000E+00   0.301328E+02   0.153163E-07   0.443878E-05  -0.483705E-06
   585   0.236929E+04   0.153357E+02   0.000000E+00   0.305072E+02   0.152771E-07   0.448266E-05  -0.497481E-06
   586   0.236066E+04   0.156132E+02   0.000000E+00   0.308498E+02   0.152380E-07   0.452707E-05  -0.511169E-06
   587   0.235195E+04   0.158936E+02   0.000000E+00   0.311604E+02   0.151991E-07   0.457200E-05  -0.524767E-06
   588   0.234318E+04   0.161766E+02   0.000000E+00   0.314388E+02   0.151604E-07   0.461744E-05  -0.538272E-06
   589   0.233433E+04   0.164622E+02   0.000000E+00   0.316848E+02   0.151218E-07   0.466337E-05  -0.551683E-06
   590   0.232541E+04   0.167504E+02   0.000000E+00   0.318980E+02   0.150833E-07   0.470980E-05  -0.564996E-06
   591   0.231644E+04   0.170409E+02   0.000000E+00   0.320783E+02   0.150450E-07   0.475669E-05  -0.578211E-06
   592   0.230741E+04   0.173337E+02   0.000000E+00   0.322253E+02   0.150069E-07   0.480406E-05  -0.591324E-06
   593   0.229832E+04   0.176287E+02   0.000000E+00   0.323389E+02   0.149689E-07   0.485188E-05  -0.604334E-06
   594   0.228919E+04   0.179257E+02   0.000000E+00   0.324191E+02   0.149311E-07   0.490015E-05  -0.617238E-06
   595   0.228001E+04   0.182247E+02   0.000000E+00   0.324656E+02   0.148934E-07   0.494885E-05  -0.630034E-06
   596   0.227080E+04   0.185255E+02   0.000000E+00   0.324784E+02   0.148558E-07   0.499797E-05  -0.642720E-06
   597   0.226155E+04   0.188281E+02   0.000000E+00   0.324571E+02   0.148184E-07   0.504751E-05  -0.655294E-06
   598   0.225228E+04   0.191322E+02   0.000000E+00   0.324018E+02   0.147812E-07   0.509745E-05  -0.667753E-06
   599   0.224298E+04   0.194379E+02   0.000000E+00   0.323122E+02   0.147441E-07   0.514779E-05  -0.680096E-06
   600   0.223366E+04   0.197449E+02   0.000000E+00   0.321885E+02   0.147071E-07   0.519851E-05  -0.692319E-06
   601   0.222433E+04   0.200531E+02   0.000000E+00   0.320304E+02   0.146703E-07   0.524960E-05  -0.704422E-06
   602   0.221498E+04   0.203625E+02   0.000000E+00   0.318383E+02   0.146336E-07   0.530105E-05  -0.716403E-06
   603   0.220563E+04   0.206729E+02   0.000000E+00   0.316118E+02   0.145971E-07   0.535286E-05  -0.728261E-06
   604   0.219628E+04   0.209842E+02   0.000000E+00   0.313510E+02   0.145607E-07   0.540500E-05  -0.739996E-06
   605   0.218693E+04   0.212963E+02   0.000000E+00   0.310561E+02   0.145245E-07   0.545747E-05  -0.751608E-06
   606   0.217760E+04   0.216090E+02   0.000000E+00   0.307269E+02   0.144884E-07   0.551027E-05  -0.763095E-06
   607   0.216827E+04   0.219223E+02   0.000000E+00   0.303636E+02   0.144524E-07   0.556337E-05  -0.774457E-06
   608   0.215896E+04   0.222360E+02   0.000000E+00   0.299661E+02   0.144166E-07   0.561677E-05  -0.785694E-06
   609   0.214968E+04   0.225500E+02   0.000000E+00   0.295347E+02   0.143809E-07   0.567046E-05  -0.796804E-06
   610   0.214042E+04   0.228641E+02   0.000000E+00   0.290693E+02   0.143454E-07   0.572443E-05  -0.807787E-06
   611   0.213121E+04   0.231781E+02   0.000000E+00   0.285701E+02   0.143099E-07   0.577866E-05  -0.818642E-06
   612   0.212202E+04   0.234921E+02   0.000000E+00   0.280371E+02   0.142747E-07   0.583315E-05  -0.829370E-06
   613   0.211287E+04   0.238059E+02   0.000000E+00   0.274704E+02   0.142395E-07   0.588788E-05  -0.839968E-06
   614   0.210378E+04   0.241193E+02   0.000000E+00   0.268704E+02   0.142045E-07   0.594285E-05  -0.850437E-06
   615   0.209472E+04   0.244321E+02   0.000000E+00   0.262371E+02   0.141697E-07   0.599804E-05  -0.860775E-06
   616   0.208574E+04   0.247444E+02   0.000000E+00   0.255710E+02   0.141350E-07   0.605344E-05  -0.870983E-06
   617   0.207681E+04   0.250560E+02   0.000000E+00   0.248722E+02   0.141004E-07   0.610905E-05  -0.881059E-06
   618   0.206795E+04   0.253668E+02   0.000000E+00   0.241411E+02   0.140659E-07   0.616485E-05  -0.891003E-06
   619   0.205916E+04   0.256766E+02   0.000000E+00   0.233779E+02   0.140316E-07   0.622084E-05  -0.900814E-06
   620   0.205044E+04   0.259855E+02   0.000000E+00   0.225829E+02   0.139974E-07   0.627699E-05  -0.910492E-06
   621   0.204181E+04   0.262932E+02   0.000000E+00   0.217564E+02   0.139633E-07   0.633331E-05  -0.920035E-06
   622   0.203326E+04   0.265996E+02   0.000000E+00   0.208987E+02   0.139294E-07   0.638977E-05  -0.929445E-06
   623   0.202480E+04   0.269045E+02   0.000000E+00   0.200100E+02   0.138956E-07   0.644638E-05  -0.938718E-06
   624   0.201643E+04   0.272080E+02   0.000000E+00   0.190907E+02   0.138620E-07   0.650311E-05  -0.947855E-06
   625   0.200815E+04   0.275098E+02   0.000000E+00   0.181410E+02   0.138284E-07   0.655996E-05  -0.956856E-06
   626   0.199998E+04   0.278097E+02   0.000000E+00   0.171613E+02   0.137950E-07   0.661692E-05  -0.965720E-06
   627   0.199191E+04   0.281077E+02   0.000000E+00   0.161518E+02   0.137617E-07   0.667398E-05  -0.974445E-06
   628   0.198396E+04   0.284036E+02   0.000000E+00   0.151129E+02   0.137286E-07   0.673112E-05  -0.983032E-06
   629   0.197611E+04   0.286974E+02   0.000000E+00   0.140451E+02   0.136956E-07   0.678834E-05  -0.991480E-06
   630   0.196838E+04   0.289889E+02   0.000000E+00   0.129488E+02   0.136627E-07   0.684562E-05  -0.999787E-06
   631   0.196076E+04   0.292780E+02   0.000000E+00   0.118244E+02   0.136299E-07   0.690296E-05  -0.100795E-05
   632   0.195327E+04   0.295645E+02   0.000000E+00   0.106723E+02   0.135972E-07   0.696035E-05  -0.101598E-05
   633   0.194591E+04   0.298484E+02   0.000000E+00   0.949283E+01   0.135647E-07   0.701776E-05  -0.102386E-05
   634   0.193868E+04   0.301295E+02   0.000000E+00   0.828658E+01   0.135323E-07   0.707520E-05  -0.103161E-05
   635   0.193158E+04   0.304077E+02   0.000000E+00   0.705401E+01   0.135000E-07   0.713266E-05  -0.103920E-05
   636   0.192462E+04   0.306829E+02   0.000000E+00   0.579558E+01   0.134679E-07   0.719011E-05  -0.104666E-05
   637   0.191780E+04   0.309551E+02   0.000000E+00   0.451180E+01   0.134359E-07   0.724756E-05  -0.105397E-05
   638   0.191112E+04   0.312240E+02   0.000000E+00   0.320320E+01   0.134039E-07   0.730499E-05  -0.106113E-05
   639   0.190460E+04   0.314896E+02   0.000000E+00   0.187025E+01   0.133722E-07   0.736239E-05  -0.106815E-05
   640   0.189822E+04   0.317518E+02   0.000000E+00   0.513466E+00   0.133405E-07   0.741974E-05  -0.107503E-05
   641   0.189199E+04   0.320104E+02   0.000000E+00  -0.866630E+00   0.133089E-07   0.747705E-05  -0.108175E-05
   642   0.188592E+04   0.322653E+02   0.000000E+00  -0.226946E+01   0.132775E-07   0.753430E-05  -0.108833E-05
   643   0.188001E+04   0.325165E+02   0.000000E+00  -0.369443E+01   0.132462E-07   0.759147E-05  -0.109476E-05
   644   0.187426E+04   0.327639E+02   0.000000E+00  -0.514094E+01   0.132150E-07   0.764856E-05  -0.110104E-05
   645   0.186867E+04   0.330072E+02   0.000000E+00  -0.660841E+01   0.131839E-07   0.770556E-05  -0.110717E-05
   646   0.186326E+04   0.332463E+02   0.000000E+00  -0.809625E+01   0.131530E-07   0.776245E-05  -0.111315E-05
   647   0.185801E+04   0.334813E+02   0.000000E+00  -0.960379E+01   0.131221E-07   0.781923E-05  -0.111898E-05
   648   0.185293E+04   0.337119E+02   0.000000E+00  -0.111306E+02   0.130914E-07   0.787589E-05  -0.112466E-05
   649   0.184802E+04   0.339381E+02   0.000000E+00  -0.126758E+02   0.130608E-07   0.793240E-05  -0.113019E-05
   650   0.184329E+04   0.341597E+02   0.000000E+00  -0.142389E+02   0.130303E-07   0.798878E-05  -0.113556E-05
   651   0.183874E+04   0.343769E+02   0.000000E+00  -0.158192E+02   0.129999E-07   0.804499E-05  -0.114078E-05
   652   0.183436E+04   0.345894E+02   0.000000E+00  -0.174159E+02   0.129697E-07   0.810105E-05  -0.114585E-05
   653   0.183017E+04   0.347972E+02   0.000000E+00  -0.190286E+02   0.129395E-07   0.815692E-05  -0.115076E-05
   654   0.182617E+04   0.350003E+02   0.000000E+00  -0.206565E+02   0.129094E-07   0.821262E-05  -0.115552E-05
   655   0.182236E+04   0.351985E+02   0.000000E+00  -0.222989E+02   0.128795E-07   0.826813E-05  -0.116013E-05
   656   0.181873E+04   0.353919E+02   0.000000E+00  -0.239551E+02   0.128497E-07   0.832343E-05  -0.116459E-05
   657   0.181529E+04   0.355803E+02   0.000000E+00  -0.256245E+02   0.128200E-07   0.837853E-05  -0.116890E-05
   658   0.181204E+04   0.357636E+02   0.000000E+00  -0.273063E+02   0.127904E-07   0.843342E-05  -0.117306E-05
   659   0.180899E+04   0.359417E+02   0.000000E+00  -0.289998E+02   0.127609E-07   0.848808E-05  -0.117706E-05
   660   0.180613E+04   0.361147E+02   0.000000E+00  -0.307042E+02   0.127315E-07   0.854251E-05  -0.118092E-05
   661   0.180346E+04   0.362823E+02   0.000000E+00  -0.324190E+02   0.127022E-07   0.859669E-05  -0.118463E-05
   662   0.180099E+04   0.364445E+02   0.000000E+00  -0.341433E+02   0.126731E-07   0.865063E-05  -0.118818E-05
   663   0.179872E+04   0.366012E+02   0.000000E+00  -0.358764E+02   0.126440E-07   0.870431E-05  -0.119159E-05
   664   0.179664E+04   0.367524E+02   0.000000E+00  -0.376175E+02   0.126150E-07   0.875772E-05  -0.119485E-05
   665   0.179477E+04   0.368980E+02   0.000000E+00  -0.393659E+02   0.125862E-07   0.881086E-05  -0.119797E-05
   666   0.179309E+04   0.370380E+02   0.000000E+00  -0.411210E+02   0.125575E-07   0.886372E-05  -0.120093E-05
   667   0.179161E+04   0.371723E+02   0.000000E+00  -0.428819E+02   0.125288E-07   0.891628E-05  -0.120375E-05
   668   0.179034E+04   0.373008E+02   0.000000E+00  -0.446478E+02   0.125003E-07   0.896855E-05  -0.120642E-05
   669   0.178926E+04   0.374235E+02   0.000000E+00  -0.464181E+02   0.124719E-07   0.902050E-05  -0.120894E-05
   670   0.178839E+04   0.375403E+02   0.000000E+00  -0.481920E+02   0.124435E-07   0.907214E-05  -0.121132E-05
   671   0.178772E+04   0.376513E+02   0.000000E+00  -0.499687E+02   0.124153E-07   0.912345E-05  -0.121356E-05
   672   0.178725E+04   0.377563E+02   0.000000E+00  -0.517475E+02   0.123872E-07   0.917443E-05  -0.121564E-05
   673   0.178698E+04   0.378553E+02   0.000000E+00  -0.535276E+02   0.123592E-07   0.922507E-05  -0.121759E-05
   674   0.178691E+04   0.379484E+02   0.000000E+00  -0.553084E+02   0.123313E-07   0.927536E-05  -0.121939E-05
   675   0.178705E+04   0.380353E+02   0.000000E+00  -0.570890E+02   0.123035E-07   0.932529E-05  -0.122104E-05
   676   0.178739E+04   0.381161E+02   0.000000E+00  -0.588686E+02   0.122758E-07   0.937485E-05  -0.122255E-05
   677   0.178793E+04   0.381909E+02   0.000000E+00  -0.606465E+02   0.122482E-07   0.942403E-05  -0.122392E-05
   678   0.178867E+04   0.382594E+02   0.000000E+00  -0.624219E+02   0.122207E-07   0.947283E-05  -0.122515E-05
   679   0.178961E+04   0.383216E+02   0.000000E+00  -0.641939E+02   0.121933E-07   0.952124E-05  -0.122623E-05
   680   0.179075E+04   0.383777E+02   0.000000E+00  -0.659618E+02   0.121660E-07   0.956925E-05  -0.122717E-05
   681   0.179209E+04   0.384273E+02   0.000000E+00  -0.677247E+02   0.121388E-07   0.961685E-05  -0.122797E-05
   682   0.179361E+04   0.384706E+02   0.000000E+00  -0.694818E+02   0.121116E-07   0.966403E-05  -0.122863E-05
   683   0.179534E+04   0.385075E+02   0.000000E+00  -0.712324E+02   0.120846E-07   0.971078E-05  -0.122914E-05
   684   0.179727E+04   0.385380E+02   0.000000E+00  -0.729757E+02   0.120577E-07   0.975710E-05  -0.122952E-05
   685   0.179939E+04   0.385621E+02   0.000000E+00  -0.747111E+02   0.120309E-07   0.980297E-05  -0.122976E-05
   686   0.180169E+04   0.385799E+02   0.000000E+00  -0.764375E+02   0.120042E-07   0.984840E-05  -0.122985E-05
   687   0.180420E+04   0.385914E+02   0.000000E+00  -0.781549E+02   0.119775E-07   0.989336E-05  -0.122981E-05
   688   0.180689E+04   0.385966E+02   0.000000E+00  -0.798626E+02   0.119510E-07   0.993786E-05  -0.122963E-05
   689   0.180978E+04   0.385955E+02   0.000000E+00  -0.815592E+02   0.119246E-07   0.998187E-05  -0.122931E-05
   690   0.181285E+04   0.385882E+02   0.000000E+00  -0.832440E+02   0.118982E-07   0.100254E-04  -0.122885E-05
   691   0.181611E+04   0.385746E+02   0.000000E+00  -0.849168E+02   0.118720E-07   0.100684E-04  -0.122826E-05
   692   0.181955E+04   0.385548E+02   0.000000E+00  -0.865770E+02   0.118458E-07   0.101110E-04  -0.122753E-05
   693   0.182318E+04   0.385288E+02   0.000000E+00  -0.882239E+02   0.118198E-07   0.101530E-04  -0.122666E-05
   694   0.182699E+04   0.384965E+02   0.000000E+00  -0.898559E+02   0.117938E-07   0.101945E-04  -0.122565E-05
   695   0.183099E+04   0.384581E+02   0.000000E+00  -0.914730E+02   0.117679E-07   0.102355E-04  -0.122451E-05
   696   0.183514E+04   0.384133E+02   0.000000E+00  -0.930738E+02   0.117421E-07   0.102759E-04  -0.122323E-05
   697   0.183949E+04   0.383624E+02   0.000000E+00  -0.946582E+02   0.117164E-07   0.103158E-04  -0.122182E-05
   698   0.184399E+04   0.383053E+02   0.000000E+00  -0.962248E+02   0.116908E-07   0.103552E-04  -0.122027E-05
   699   0.184868E+04   0.382420E+02   0.000000E+00  -0.977736E+02   0.116653E-07   0.103940E-04  -0.121859E-05
   700   0.185353E+04   0.381727E+02   0.000000E+00  -0.993038E+02   0.116399E-07   0.104322E-04  -0.121677E-05
   701   0.185854E+04   0.380972E+02   0.000000E+00  -0.100815E+03   0.116145E-07   0.104698E-04  -0.121482E-05
   702   0.186371E+04   0.380156E+02   0.000000E+00  -0.102306E+03   0.115893E-07   0.105069E-04  -0.121274E-05
   703   0.186904E+04   0.379281E+02   0.000000E+00  -0.103776E+03   0.115641E-07   0.105434E-04  -0.121052E-05
   704   0.187453E+04   0.378346E+02   0.000000E+00  -0.105225E+03   0.115390E-07   0.105792E-04  -0.120818E-05
   705   0.188017E+04   0.377352E+02   0.000000E+00  -0.106652E+03   0.115140E-07   0.106145E-04  -0.120570E-05
   706   0.188597E+04   0.376300E+02   0.000000E+00  -0.108056E+03   0.114891E-07   0.106493E-04  -0.120310E-05
   707   0.189191E+04   0.375190E+02   0.000000E+00  -0.109437E+03   0.114643E-07   0.106834E-04  -0.120037E-05
   708   0.189799E+04   0.374022E+02   0.000000E+00  -0.110794E+03   0.114396E-07   0.107169E-04  -0.119751E-05
   709   0.190422E+04   0.372798E+02   0.000000E+00  -0.112127E+03   0.114149E-07   0.107498E-04  -0.119452E-05
   710   0.191058E+04   0.371517E+02   0.000000E+00  -0.113435E+03   0.113904E-07   0.107822E-04  -0.119141E-05
   711   0.191708E+04   0.370181E+02   0.000000E+00  -0.114718E+03   0.113659E-07   0.108139E-04  -0.118817E-05
   712   0.192372E+04   0.368789E+02   0.000000E+00  -0.115974E+03   0.113415E-07   0.108450E-04  -0.118481E-05
   713   0.193048E+04   0.367343E+02   0.000000E+00  -0.117204E+03   0.113172E-07   0.108756E-04  -0.118133E-05
   714   0.193736E+04   0.365843E+02   0.000000E+00  -0.118405E+03   0.112929E-07   0.109055E-04  -0.117772E-05
   715   0.194437E+04   0.364290E+02   0.000000E+00  -0.119580E+03   0.112688E-07   0.109348E-04  -0.117400E-05
   716   0.195149E+04   0.362683E+02   0.000000E+00  -0.120726E+03   0.112447E-07   0.109635E-04  -0.117015E-05
   717   0.195873E+04   0.361024E+02   0.000000E+00  -0.121842E+03   0.112208E-07   0.109915E-04  -0.116619E-05
   718   0.196607E+04   0.359312E+02   0.000000E+00  -0.122929E+03   0.111969E-07   0.110190E-04  -0.116210E-05
   719   0.197352E+04   0.357550E+02   0.000000E+00  -0.123985E+03   0.111730E-07   0.110458E-04  -0.115790E-05
   720   0.198108E+04   0.355738E+02   0.000000E+00  -0.125012E+03   0.111493E-07   0.110721E-04  -0.115359E-05
   721   0.198872E+04   0.353877E+02   0.000000E+00  -0.126007E+03   0.111257E-07   0.110977E-04  -0.114915E-05
   722   0.199647E+04   0.351968E+02   0.000000E+00  -0.126972E+03   0.111021E-07   0.111226E-04  -0.114461E-05
   723   0.200431E+04   0.350012E+02   0.000000E+00  -0.127905E+03   0.110786E-07   0.111470E-04  -0.113995E-05
   724   0.201225E+04   0.348012E+02   0.000000E+00  -0.128806E+03   0.110552E-07   0.111707E-04  -0.113518E-05
   725   0.202027E+04   0.345967E+02   0.000000E+00  -0.129674E+03   0.110318E-07   0.111938E-04  -0.113029E-05
   726   0.202837E+04   0.343878E+02   0.000000E+00  -0.130510E+03   0.110086E-07   0.112162E-04  -0.112530E-05
   727   0.203656E+04   0.341747E+02   0.000000E+00  -0.131313E+03   0.109854E-07   0.112380E-04  -0.112019E-05
   728   0.204482E+04   0.339573E+02   0.000000E+00  -0.132084E+03   0.109623E-07   0.112592E-04  -0.111498E-05
   729   0.205315E+04   0.337359E+02   0.000000E+00  -0.132819E+03   0.109393E-07   0.112797E-04  -0.110965E-05
   730   0.206155E+04   0.335105E+02   0.000000E+00  -0.133521E+03   0.109163E-07   0.112996E-04  -0.110422E-05
   731   0.207002E+04   0.332812E+02   0.000000E+00  -0.134189E+03   0.108935E-07   0.113188E-04  -0.109869E-05
   732   0.207854E+04   0.330480E+02   0.000000E+00  -0.134821E+03   0.108707E-07   0.113374E-04  -0.109305E-05
   733   0.208712E+04   0.328112E+02   0.000000E+00  -0.135418E+03   0.108480E-07   0.113553E-04  -0.108730E-05
   734   0.209575E+04   0.325706E+02   0.000000E+00  -0.135979E+03   0.108253E-07   0.113726E-04  -0.108145E-05
   735   0.210442E+04   0.323267E+02   0.000000E+00  -0.136505E+03   0.108028E-07   0.113892E-04  -0.107550E-05
   736   0.211314E+04   0.320794E+02   0.000000E+00  -0.136995E+03   0.107803E-07   0.114052E-04  -0.106945E-05
   737   0.212189E+04   0.318288E+02   0.000000E+00  -0.137448E+03   0.107579E-07   0.114205E-04  -0.106329E-05
   738   0.213068E+04   0.315750E+02   0.000000E+00  -0.137865E+03   0.107355E-07   0.114351E-04  -0.105704E-05
   739   0.213950E+04   0.313182E+02   0.000000E+00  -0.138244E+03   0.107132E-07   0.114491E-04  -0.105068E-05
   740   0.214834E+04   0.310585E+02   0.000000E+00  -0.138586E+03   0.106911E-07   0.114624E-04  -0.104423E-05
   741   0.215720E+04   0.307960E+02   0.000000E+00  -0.138892E+03   0.106689E-07   0.114750E-04  -0.103768E-05
   742   0.216607E+04   0.305309E+02   0.000000E+00  -0.139160E+03   0.106469E-07   0.114870E-04  -0.103104E-05
   743   0.217495E+04   0.302633E+02   0.000000E+00  -0.139390E+03   0.106249E-07   0.114982E-04  -0.102430E-05
   744   0.218384E+04   0.299932E+02   0.000000E+00  -0.139583E+03   0.106030E-07   0.115089E-04  -0.101746E-05
   745   0.219272E+04   0.297210E+02   0.000000E+00  -0.139737E+03   0.105812E-07   0.115188E-04  -0.101054E-05
   746   0.220160E+04   0.294466E+02   0.000000E+00  -0.139855E+03   0.105594E-07   0.115280E-04  -0.100351E-05
   747   0.221048E+04   0.291702E+02   0.000000E+00  -0.139934E+03   0.105377E-07   0.115366E-04  -0.996403E-06
   748   0.221933E+04   0.288918E+02   0.000000E+00  -0.139975E+03   0.105161E-07   0.115445E-04  -0.989199E-06
   749   0.222817E+04   0.286117E+02   0.000000E+00  -0.139978E+03   0.104945E-07   0.115517E-04  -0.981906E-06
   750   0.223699E+04   0.283299E+02   0.000000E+00  -0.139943E+03   0.104730E-07   0.115582E-04  -0.974524E-06
   751   0.224579E+04   0.280466E+02   0.000000E+00  -0.139870E+03   0.104516E-07   0.115640E-04  -0.967055E-06
   752   0.225454E+04   0.277619E+02   0.000000E+00  -0.139758E+03   0.104303E-07   0.115691E-04  -0.959498E-06
   753   0.226326E+04   0.274758E+02   0.000000E+00  -0.139608E+03   0.104090E-07   0.115736E-04  -0.951857E-06
   754   0.227195E+04   0.271886E+02   0.000000E+00  -0.139421E+03   0.103878E-07   0.115773E-04  -0.944133E-06
   755   0.228059E+04   0.269004E+02   0.000000E+00  -0.139195E+03   0.103667E-07   0.115804E-04  -0.936327E-06
   756   0.228919E+04   0.266112E+02   0.000000E+00  -0.138931E+03   0.103456E-07   0.115828E-04  -0.928441E-06
   757   0.229774E+04   0.263215E+02   0.000000E+00  -0.138630E+03   0.103246E-07   0.115845E-04  -0.920477E-06
   758   0.230624E+04   0.260310E+02   0.000000E+00  -0.138292E+03   0.103036E-07   0.115855E-04  -0.912436E-06
   759   0.231469E+04   0.257402E+02   0.000000E+00  -0.137917E+03   0.102828E-07   0.115859E-04  -0.904319E-06
   760   0.232308E+04   0.254491E+02   0.000000E+00  -0.137504E+03   0.102620E-07   0.115857E-04  -0.896130E-06
   761   0.233141E+04   0.251578E+02   0.000000E+00  -0.137054E+03   0.102412E-07   0.115847E-04  -0.887868E-06
   762   0.233968E+04   0.248665E+02   0.000000E+00  -0.136567E+03   0.102205E-07   0.115831E-04  -0.879536E-06
   763   0.234788E+04   0.245752E+02   0.000000E+00  -0.136043E+03   0.101999E-07   0.115809E-04  -0.871135E-06
   764   0.235599E+04   0.242841E+02   0.000000E+00  -0.135482E+03   0.101794E-07   0.115780E-04  -0.862667E-06
   765   0.236403E+04   0.239934E+02   0.000000E+00  -0.134884E+03   0.101589E-07   0.115744E-04  -0.854133E-06
   766   0.237198E+04   0.237031E+02   0.000000E+00  -0.134249E+03   0.101385E-07   0.115702E-04  -0.845536E-06
   767   0.237984E+04   0.234132E+02   0.000000E+00  -0.133577E+03   0.101181E-07   0.115654E-04  -0.836876E-06
   768   0.238761E+04   0.231241E+02   0.000000E+00  -0.132868E+03   0.100978E-07   0.115599E-04  -0.828155E-06
   769   0.239526E+04   0.228359E+02   0.000000E+00  -0.132123E+03   0.100776E-07   0.115538E-04  -0.819375E-06
   770   0.240282E+04   0.225486E+02   0.000000E+00  -0.131342E+03   0.100575E-07   0.115470E-04  -0.810538E-06
   771   0.241027E+04   0.222625E+02   0.000000E+00  -0.130526E+03   0.100374E-07   0.115396E-04  -0.801645E-06
   772   0.241760E+04   0.219777E+02   0.000000E+00  -0.129674E+03   0.100173E-07   0.115316E-04  -0.792698E-06
   773   0.242482E+04   0.216943E+02   0.000000E+00  -0.128788E+03   0.999735E-08   0.115230E-04  -0.783697E-06
   774   0.243191E+04   0.214125E+02   0.000000E+00  -0.127868E+03   0.997744E-08   0.115138E-04  -0.774646E-06
   775   0.243888E+04   0.211324E+02   0.000000E+00  -0.126914E+03   0.995759E-08   0.115039E-04  -0.765545E-06
   776   0.244572E+04   0.208541E+02   0.000000E+00  -0.125927E+03   0.993780E-08   0.114934E-04  -0.756397E-06
   777   0.245244E+04   0.205778E+02   0.000000E+00  -0.124906E+03   0.991808E-08   0.114824E-04  -0.747202E-06
   778   0.245904E+04   0.203035E+02   0.000000E+00  -0.123854E+03   0.989841E-08   0.114707E-04  -0.737962E-06
   779   0.246550E+04   0.200314E+02   0.000000E+00  -0.122769E+03   0.987881E-08   0.114584E-04  -0.728680E-06
   780   0.247184E+04   0.197617E+02   0.000000E+00  -0.121653E+03   0.985927E-08   0.114455E-04  -0.719356E-06
   781   0.247804E+04   0.194944E+02   0.000000E+00  -0.120507E+03   0.983978E-08   0.114320E-04  -0.709992E-06
   782   0.248411E+04   0.192296E+02   0.000000E+00  -0.119329E+03   0.982036E-08   0.114179E-04  -0.700589E-06
   783   0.249004E+04   0.189674E+02   0.000000E+00  -0.118121E+03   0.980099E-08   0.114032E-04  -0.691151E-06
   784   0.249583E+04   0.187080E+02   0.000000E+00  -0.116883E+03   0.978169E-08   0.113880E-04  -0.681677E-06
   785   0.250146E+04   0.184515E+02   0.000000E+00  -0.115614E+03   0.976245E-08   0.113721E-04  -0.672169E-06
   786   0.250693E+04   0.181979E+02   0.000000E+00  -0.114315E+03   0.974326E-08   0.113557E-04  -0.662630E-06
   787   0.251225E+04   0.179473E+02   0.000000E+00  -0.112987E+03   0.972413E-08   0.113387E-04  -0.653061E-06
   788   0.251740E+04   0.177000E+02   0.000000E+00  -0.111629E+03   0.970506E-08   0.113211E-04  -0.643463E-06
   789   0.252237E+04   0.174560E+02   0.000000E+00  -0.110242E+03   0.968605E-08   0.113029E-04  -0.633838E-06
   790   0.252718E+04   0.172154E+02   0.000000E+00  -0.108826E+03   0.966709E-08   0.112842E-04  -0.624187E-06
   791   0.253181E+04   0.169784E+02   0.000000E+00  -0.107385E+03   0.964820E-08   0.112649E-04  -0.614513E-06
   792   0.253627E+04   0.167452E+02   0.000000E+00  -0.105916E+03   0.962936E-08   0.112451E-04  -0.604817E-06
   793   0.254055E+04   0.165160E+02   0.000000E+00  -0.104422E+03   0.961057E-08   0.112247E-04  -0.595100E-06
   794   0.254466E+04   0.162908E+02   0.000000E+00  -0.102904E+03   0.959184E-08   0.112037E-04  -0.585364E-06
   795   0.254857E+04   0.160698E+02   0.000000E+00  -0.101363E+03   0.957317E-08   0.111822E-04  -0.575610E-06
   796   0.255231E+04   0.158530E+02   0.000000E+00  -0.997976E+02   0.955456E-08   0.111601E-04  -0.565841E-06
   797   0.255587E+04   0.156406E+02   0.000000E+00  -0.982103E+02   0.953600E-08   0.111375E-04  -0.556058E-06
