#    L    TT             EE             BB             TE          
   136   0.390873E+04   0.111919E+01   0.604250E-02  -0.432910E+02
   137   0.394319E+04   0.112094E+01   0.613675E-02  -0.436224E+02
   138   0.397760E+04   0.112221E+01   0.623191E-02  -0.439350E+02
   139   0.401193E+04   0.112299E+01   0.632800E-02  -0.442285E+02
   140   0.404620E+04   0.112327E+01   0.642502E-02  -0.445024E+02
   141   0.408038E+04   0.112307E+01   0.652296E-02  -0.447564E+02
   142   0.411448E+04   0.112237E+01   0.662185E-02  -0.449899E+02
   143   0.414848E+04   0.112119E+01   0.672169E-02  -0.452027E+02
   144   0.418237E+04   0.111953E+01   0.682248E-02  -0.453943E+02
   145   0.421615E+04   0.111739E+01   0.692424E-02  -0.455642E+02
   146   0.424979E+04   0.111477E+01   0.702695E-02  -0.457123E+02
   147   0.428328E+04   0.111169E+01   0.713065E-02  -0.458379E+02
   148   0.431661E+04   0.110815E+01   0.723532E-02  -0.459407E+02
   149   0.434977E+04   0.110415E+01   0.734097E-02  -0.460204E+02
   150   0.438274E+04   0.109970E+01   0.744762E-02  -0.460764E+02
   151   0.441549E+04   0.109482E+01   0.755526E-02  -0.461086E+02
   152   0.444804E+04   0.108950E+01   0.766390E-02  -0.461166E+02
   153   0.448037E+04   0.108377E+01   0.777354E-02  -0.461001E+02
   154   0.451248E+04   0.107763E+01   0.788419E-02  -0.460589E+02
   155   0.454437E+04   0.107109E+01   0.799585E-02  -0.459927E+02
   156   0.457603E+04   0.106417E+01   0.810853E-02  -0.459014E+02
   157   0.460745E+04   0.105687E+01   0.822223E-02  -0.457846E+02
   158   0.463863E+04   0.104922E+01   0.833695E-02  -0.456421E+02
   159   0.466956E+04   0.104122E+01   0.845270E-02  -0.454737E+02
   160   0.470023E+04   0.103289E+01   0.856947E-02  -0.452792E+02
   161   0.473062E+04   0.102425E+01   0.868727E-02  -0.450584E+02
   162   0.476072E+04   0.101531E+01   0.880610E-02  -0.448111E+02
   163   0.479052E+04   0.100610E+01   0.892597E-02  -0.445370E+02
   164   0.481999E+04   0.996627E+00   0.904686E-02  -0.442362E+02
   165   0.484915E+04   0.986904E+00   0.916878E-02  -0.439081E+02
   166   0.487797E+04   0.976958E+00   0.929173E-02  -0.435530E+02
   167   0.490645E+04   0.966810E+00   0.941571E-02  -0.431704E+02
   168   0.493457E+04   0.956483E+00   0.954072E-02  -0.427606E+02
   169   0.496233E+04   0.945999E+00   0.966676E-02  -0.423234E+02
   170   0.498972E+04   0.935372E+00   0.979382E-02  -0.418587E+02
   171   0.501673E+04   0.924634E+00   0.992190E-02  -0.413665E+02
   172   0.504337E+04   0.913805E+00   0.100510E-01  -0.408467E+02
   173   0.506960E+04   0.902908E+00   0.101811E-01  -0.402992E+02
   174   0.509543E+04   0.891965E+00   0.103122E-01  -0.397241E+02
   175   0.512085E+04   0.881014E+00   0.104444E-01  -0.391215E+02
   176   0.514585E+04   0.870070E+00   0.105775E-01  -0.384913E+02
   177   0.517041E+04   0.859168E+00   0.107116E-01  -0.378335E+02
   178   0.519454E+04   0.848333E+00   0.108467E-01  -0.371483E+02
   179   0.521822E+04   0.837585E+00   0.109828E-01  -0.364356E+02
   180   0.524144E+04   0.826963E+00   0.111199E-01  -0.356956E+02
   181   0.526421E+04   0.816496E+00   0.112580E-01  -0.349284E+02
   182   0.528650E+04   0.806213E+00   0.113970E-01  -0.341341E+02
   183   0.530833E+04   0.796138E+00   0.115369E-01  -0.333129E+02
   184   0.532967E+04   0.786306E+00   0.116779E-01  -0.324650E+02
   185   0.535052E+04   0.776755E+00   0.118197E-01  -0.315903E+02
   186   0.537087E+04   0.767508E+00   0.119625E-01  -0.306892E+02
   187   0.539073E+04   0.758595E+00   0.121063E-01  -0.297618E+02
   188   0.541007E+04   0.750056E+00   0.122509E-01  -0.288084E+02
   189   0.542890E+04   0.741921E+00   0.123964E-01  -0.278292E+02
   190   0.544720E+04   0.734226E+00   0.125429E-01  -0.268244E+02
   191   0.546497E+04   0.727002E+00   0.126902E-01  -0.257943E+02
   192   0.548220E+04   0.720283E+00   0.128384E-01  -0.247391E+02
   193   0.549889E+04   0.714104E+00   0.129875E-01  -0.236591E+02
   194   0.551503E+04   0.708500E+00   0.131375E-01  -0.225546E+02
   195   0.553061E+04   0.703505E+00   0.132883E-01  -0.214260E+02
   196   0.554564E+04   0.699157E+00   0.134399E-01  -0.202736E+02
   197   0.556011E+04   0.695491E+00   0.135924E-01  -0.190978E+02
   198   0.557403E+04   0.692544E+00   0.137456E-01  -0.178989E+02
   199   0.558737E+04   0.690350E+00   0.138997E-01  -0.166773E+02
   200   0.560014E+04   0.688946E+00   0.140546E-01  -0.154335E+02
   201   0.561235E+04   0.688368E+00   0.142103E-01  -0.141677E+02
   202   0.562396E+04   0.688653E+00   0.143667E-01  -0.128805E+02
   203   0.563498E+04   0.689838E+00   0.145239E-01  -0.115722E+02
   204   0.564539E+04   0.691958E+00   0.146818E-01  -0.102431E+02
   205   0.565518E+04   0.695050E+00   0.148405E-01  -0.889394E+01
   206   0.566434E+04   0.699150E+00   0.149999E-01  -0.752490E+01
   207   0.567287E+04   0.704296E+00   0.151600E-01  -0.613643E+01
   208   0.568076E+04   0.710523E+00   0.153209E-01  -0.472911E+01
   209   0.568803E+04   0.717868E+00   0.154824E-01  -0.330350E+01
   210   0.569467E+04   0.726366E+00   0.156445E-01  -0.186014E+01
   211   0.570070E+04   0.736056E+00   0.158074E-01  -0.399582E+00
   212   0.570612E+04   0.746972E+00   0.159708E-01   0.107760E+01
   213   0.571093E+04   0.759152E+00   0.161349E-01   0.257087E+01
   214   0.571514E+04   0.772632E+00   0.162997E-01   0.407964E+01
   215   0.571876E+04   0.787442E+00   0.164650E-01   0.560335E+01
   216   0.572176E+04   0.803626E+00   0.166309E-01   0.714139E+01
   217   0.572414E+04   0.821214E+00   0.167974E-01   0.869315E+01
   218   0.572592E+04   0.840236E+00   0.169645E-01   0.102581E+02
   219   0.572707E+04   0.860735E+00   0.171320E-01   0.118356E+02
   220   0.572760E+04   0.882741E+00   0.173002E-01   0.134251E+02
   221   0.572750E+04   0.906283E+00   0.174688E-01   0.150259E+02
   222   0.572677E+04   0.931405E+00   0.176379E-01   0.166375E+02
   223   0.572541E+04   0.958130E+00   0.178075E-01   0.182590E+02
   224   0.572343E+04   0.986494E+00   0.179775E-01   0.198901E+02
   225   0.572083E+04   0.101652E+01   0.181480E-01   0.215298E+02
   226   0.571760E+04   0.104825E+01   0.183189E-01   0.231777E+02
   227   0.571375E+04   0.108171E+01   0.184903E-01   0.248330E+02
   228   0.570928E+04   0.111693E+01   0.186620E-01   0.264950E+02
   229   0.570420E+04   0.115394E+01   0.188340E-01   0.281630E+02
   230   0.569849E+04   0.119277E+01   0.190064E-01   0.298365E+02
   231   0.569217E+04   0.123344E+01   0.191792E-01   0.315147E+02
   232   0.568525E+04   0.127599E+01   0.193523E-01   0.331968E+02
   233   0.567771E+04   0.132043E+01   0.195256E-01   0.348822E+02
   234   0.566956E+04   0.136680E+01   0.196992E-01   0.365700E+02
   235   0.566081E+04   0.141512E+01   0.198731E-01   0.382598E+02
   236   0.565145E+04   0.146542E+01   0.200472E-01   0.399508E+02
   237   0.564149E+04   0.151772E+01   0.202215E-01   0.416420E+02
   238   0.563094E+04   0.157203E+01   0.203959E-01   0.433330E+02
   239   0.561980E+04   0.162837E+01   0.205706E-01   0.450229E+02
   240   0.560807E+04   0.168678E+01   0.207454E-01   0.467109E+02
   241   0.559574E+04   0.174728E+01   0.209203E-01   0.483965E+02
   242   0.558284E+04   0.180987E+01   0.210953E-01   0.500787E+02
   243   0.556936E+04   0.187459E+01   0.212704E-01   0.517568E+02
   244   0.555531E+04   0.194143E+01   0.214455E-01   0.534303E+02
